Week,Week_Factor,Mode,Mean,Sigma,Robust_68_Min,Robust_68_Max,Robust_95_Min,Robust_95_Max,Robust_99_Min,Robust_99_Max,Variability_Included
19,0.015,1393.2,1389.7194791101356,279.587088337862,1110.1323907722735,1669.3065674479976,928.4007833526633,1851.0381748676077,738.2815632829171,2041.1573949373542,Market growth + Tsukumo share growth + week seasonality
20,0.0125,1161.0,1158.099565925113,232.98924028155216,925.1103256435608,1391.0888062066651,773.6673194605519,1542.531812389674,615.2346360690965,1700.9644957811295,Market growth + Tsukumo share growth + week seasonality
21,0.025,2322.0,2316.199131850226,465.9784805631043,1850.2206512871217,2782.1776124133303,1547.3346389211038,3085.063624779348,1230.469272138193,3401.928991562259,Market growth + Tsukumo share growth + week seasonality
22,0.0375,3483.0,3474.298697775339,698.9677208446545,2775.3309769306843,4173.266418619994,2321.0019583816593,4627.595437169019,1845.7039082072938,5102.893487343385,Market growth + Tsukumo share growth + week seasonality
23,0.0425,3947.4,3937.5385241453846,792.1634169572752,3145.3751071881093,4729.7019411026595,2630.4688861658806,5244.608162124889,2091.797762634933,5783.279285655836,Market growth + Tsukumo share growth + week seasonality
24,0.04,3715.2000000000003,3705.9186109603615,745.5655689009641,2960.3530420593975,4451.484179861325,2475.735422273771,4936.101799646953,1968.7508354211152,5443.086386499608,Market growth + Tsukumo share growth + week seasonality
25,0.0325,3018.6,3011.0588714052938,605.7720247320337,2405.28684667326,3616.8308961373277,2011.535030597438,4010.5827122131495,1599.6100537796551,4422.507689030932,Market growth + Tsukumo share growth + week seasonality
26,0.025,2322.0,2316.199131850226,465.9784805631043,1850.2206512871217,2782.1776124133303,1547.3346389211038,3085.063624779348,1230.469272138193,3401.928991562259,Market growth + Tsukumo share growth + week seasonality
27,0.0225,2089.7999999999997,2084.5792186652034,419.38063250679215,1665.1985861584112,2503.9598511719955,1392.6011750289963,2776.5572623014104,1107.4223449243777,3061.736092406029,Market growth + Tsukumo share growth + week seasonality
28,0.02,1857.6000000000001,1852.9593054801808,372.78278445048204,1480.1765210296987,2225.7420899306626,1237.8677111368854,2468.0508998234764,984.3754177105576,2721.543193249804,Market growth + Tsukumo share growth + week seasonality
29,0.0175,1625.4,1621.3393922951584,326.184936394172,1295.1544559009865,1947.5243286893303,1083.1342472447745,2159.5445373455423,861.3284904967377,2381.350294093579,Market growth + Tsukumo share growth + week seasonality
30,0.0175,1625.4,1621.3393922951584,326.184936394172,1295.1544559009865,1947.5243286893303,1083.1342472447745,2159.5445373455423,861.3284904967377,2381.350294093579,Market growth + Tsukumo share growth + week seasonality
31,0.01,928.8000000000001,926.4796527400904,186.39139222524102,740.0882605148494,1112.8710449653313,618.9338555684427,1234.0254499117382,492.1877088552788,1360.771596624902,Market growth + Tsukumo share growth + week seasonality
32,0.0075,696.6,694.8597395550678,139.793544168931,555.0661953861368,834.6532837239988,464.20039167633166,925.5190874338039,369.14078164145855,1020.5786974686771,Market growth + Tsukumo share growth + week seasonality
33,0.0075,696.6,694.8597395550678,139.793544168931,555.0661953861368,834.6532837239988,464.20039167633166,925.5190874338039,369.14078164145855,1020.5786974686771,Market growth + Tsukumo share growth + week seasonality
34,0.01,928.8000000000001,926.4796527400904,186.39139222524102,740.0882605148494,1112.8710449653313,618.9338555684427,1234.0254499117382,492.1877088552788,1360.771596624902,Market growth + Tsukumo share growth + week seasonality
35,0.0125,1161.0,1158.099565925113,232.98924028155216,925.1103256435608,1391.0888062066651,773.6673194605519,1542.531812389674,615.2346360690965,1700.9644957811295,Market growth + Tsukumo share growth + week seasonality
