Metric,Mode,Mean,Sigma,Robust_68_Min,Robust_68_Max,Robust_95_Min,Robust_95_Max,Robust_99_Min,Robust_99_Max,Variability_Included
Annual Tsukumo Demand,92880.0,92647.96527400904,1978.658291542601,90669.30698246644,94626.62356555164,89383.17909296375,95912.75145505433,88037.69145471478,97258.2390933033,Market growth + Tsukumo share growth
Peak Weekly Demand (units),6966.0,6948.597395550678,1397.935441689309,5550.661953861369,8346.532837239987,4642.003916763319,9255.190874338037,3691.4078164145876,10205.78697468677,Market growth + Tsukumo share growth + week seasonality
Peak Daily Demand (units),1602.18,1598.1774009766561,403.9471317340989,1194.2302692425574,2002.124532710755,931.664633615393,2264.690168337919,656.9805840362058,2539.3742179171068,Market growth + Tsukumo share growth + week seasonality + day seasonality
Peak Daily Weight (lb),96130.8,95890.64405859937,24236.827904045935,71653.81615455344,120127.4719626453,55899.878016923576,135881.41010027516,39418.835042172344,152362.4530750264,Market growth + Tsukumo share growth + week seasonality + day seasonality
