Market,Expected_Demand_Share,Mode,Mean,Sigma,Robust_68_Min,Robust_68_Max,Robust_95_Min,Robust_95_Max,Robust_99_Min,Robust_99_Max,Variability_Included,Mode_Revenue,Mode_Weight_lb,Mean_Revenue,Mean_Weight_lb,Sigma_Revenue,Sigma_Weight_lb,Robust_68_Min_Revenue,Robust_68_Min_Weight_lb,Robust_68_Max_Revenue,Robust_68_Max_Weight_lb,Robust_95_Min_Revenue,Robust_95_Min_Weight_lb,Robust_95_Max_Revenue,Robust_95_Max_Weight_lb,Robust_99_Min_Revenue,Robust_99_Min_Weight_lb,Robust_99_Max_Revenue,Robust_99_Max_Weight_lb
Primary,0.710815507228462,66020.54431137955,65855.61042992967,1586.85041536937,64268.7600145603,67442.46084529904,63237.30724457021,68473.91361528913,62158.24896211904,69552.97189774031,Market growth + Tsukumo share growth + ZIP3 PMF,198061632.93413866,3961232.658682773,197566831.28978902,3951336.62579578,4760551.24610811,95211.0249221622,192806280.0436809,3856125.600873618,202327382.5358971,4046547.650717942,189711921.73371065,3794238.4346742127,205421740.8458674,4108434.8169173477,186474746.88635713,3729494.9377271426,208658915.69322094,4173178.313864419
Secondary,0.2768740429260318,25716.06110696983,25651.81671428548,609.3875522195186,25042.42916206596,26261.204266505,24646.327253123276,26657.306175447684,24231.943717614,27071.689710956958,Market growth + Tsukumo share growth + ZIP3 PMF,77148183.3209095,1542963.6664181899,76955450.14285643,1539109.0028571289,1828162.6566585558,36563.253133171114,75127287.48619789,1502545.7497239576,78783612.799515,1575672.2559902999,73938981.75936984,1478779.6351873965,79971918.52634305,1599438.370526861,72695831.152842,1453916.6230568402,81215069.13287087,1624301.3826574176
Tertiary,0.012310449845506315,1143.3945816506266,1140.538129793899,51.44165608353148,1089.0964737103677,1191.9797858774305,1055.6593972560722,1225.416862331726,1020.6790711192707,1260.3971884685275,Market growth + Tsukumo share growth + ZIP3 PMF,3430183.7449518796,68603.67489903759,3421614.3893816974,68432.28778763395,154324.96825059442,3086.4993650118886,3267289.4211311033,65345.78842262206,3575939.3576322915,71518.78715264583,3166978.191768217,63339.56383536433,3676250.586995178,73525.01173990355,3062037.2133578123,61240.744267156246,3781191.5654055825,75623.83130811165
